ID,Institution
1,Aliceville FCI
2,Alderson FPC
3,Allenwood Low FCI
4,Allenwood Medium FCI
5,Ashland FCI
6,Atlanta USP
7,Bastrop FCI
8,Beaumont Low FCI
9,Beaumont Medium FCI
10,Beckley FCI
11,Bennettsville FCI
12,Berlin FCI
13,Big Spring (Flightline) CI
14,Big Spring CI
15,Big Spring FCI
16,Bryan FPC
17,Butner Low FCI
18,Butner Medium I FCI
19,Butner Medium II FCI
20,Coleman Low FCI
21,Coleman Medium FCI
22,Cumberland FCI
23,D. Ray James CI
24,Danbury FCI
25,Dublin FCI
26,Duluth FPC
27,Edgefield FCI
28,El Reno FCI
29,Elkton FCI
30,Englewood FCI
31,Estill FCI
32,Fairton FCI
33,Florence FCI
34,Forrest City Low FCI
35,Forrest City Medium FCI
36,Fort Dix FCI
37,Giles W. Dalby CI
38,Gilmer FCI
39,Great Plains CI
40,Greenville FCI
41,Hazelton FCI
42,Herlong FCI
43,Jesup FCI
44,La Tuna FCI
45,Leavenworth USP
46,Lompoc FCI
47,Lompoc USP
48,Loretto FCI
49,Manchester FCI
50,Marianna FCI
51,Marion USP
52,McDowell FCI
53,McKean FCI
54,McRae CI
55,Memphis FCI
56,Mendota FCI
57,Miami FCI
58,Milan FCI
59,Montgomery FPC
60,Morgantown FCI
61,Moshannon Valley CI
62,Oakdale I FCI
63,Oakdale II FCI
64,Otisville FCI
65,Oxford FCI
66,Pekin FCI
67,Pensacola FPC
68,Petersburg Low FCI
69,Petersburg Medium FCI
70,Phoenix FCI
71,Pollock FCI
72,Ray Brook FCI
73,Reeves III CI
74,Rivers CI
75,Safford FCI
76,Sandstone FCI
77,Schuylkill FCI
78,Seagoville FCI
79,Sheridan FCI
80,Taft CI
81,Talladega FCI
82,Tallahassee FCI
83,Terminal Island FCI
84,Terre Haute FCI
85,Texarkana FCI
86,Three Rivers FCI
87,Tucson FCI
88,Victorville Medium I FCI
89,Victorville Medium II FCI
90,Waseca FCI
91,Williamsburg FCI
92,Yankton FPC
93,Yazoo City Low FCI
94,Yazoo City Medium FCI
